parlimen;negeri;pemilih;pengundi;parti_bebas;parti_berjasa;parti_bersama;parti_barisan;parti_dap;parti_kita;parti_pas;parti_pcm;parti_pkr;parti_sapp;parti_star;parti_swp
P.152 - KLUANG;Johor;86732;75262;0;0;0;33215;40574;0;0;0;0;0;0;0
P.153 - SEMBRONG;Johor;41588;35910;0;0;0;22841;0;0;0;0;12210;0;0;0
P.154 - MERSING;Johor;44497;37393;0;0;0;26184;0;0;10437;0;0;0;0;0
P.155 - TENGGARA;Johor;39694;34946;0;0;0;25698;0;0;8502;0;0;0;0;0
P.156 - KOTA TINGGI;Johor;41894;36943;0;0;0;30373;0;0;5799;0;0;0;0;0
P.157 - PENGERANG;Johor;37999;33067;795;0;0;26992;0;0;0;0;4484;0;0;0
P.158 - TEBRAU;Johor;90482;79835;0;0;0;39985;0;0;0;0;38218;0;0;0
P.159 - PASIR GUDANG;Johor;101041;88550;0;0;0;43834;0;0;0;0;42899;0;0;0
P.160 - JOHOR BAHRU;Johor;96321;79965;0;0;0;44509;0;0;0;0;34014;0;0;0
P.161 - PULAI;Johor;100490;85924;0;0;0;43751;0;0;40525;0;0;0;0;0
P.162 - GELANG PATAH;Johor;106726;95068;0;0;0;39522;54284;0;0;0;0;0;0;0
P.163 - KULAI;Johor;83991;75015;238;0;0;29888;43338;0;0;0;0;0;0;0
P.164 - PONTIAN;Johor;49633;42831;0;0;0;27804;0;0;0;0;14077;0;0;0
P.165 - TANJONG PIAI;Johor;51875;45622;0;0;0;25038;19581;0;0;0;0;0;0;0
P.166 - LABUAN;WP Labuan;24474;19377;0;0;0;12694;0;0;386;0;6069;0;0;0
P.167 - KUDAT;Sabah;47249;36421;0;0;0;21883;0;0;0;0;9507;963;3083;0
P.168 - KOTA MARUDU;Sabah;42197;33125;0;0;0;15168;0;0;0;0;14326;444;2228;0
P.169 - KOTA BELUD;Sabah;51467;43502;1164;0;0;21768;0;0;0;0;16673;0;2709;0
P.170 - TUARAN;Sabah;48276;40849;2264;0;0;20685;0;0;0;0;15495;0;1509;0
P.171 - SEPANGGAR;Sabah;53374;43500;0;0;0;22845;13403;0;0;0;0;4070;1931;0
P.172 - KOTA KINABALU;Sabah;50516;39548;0;0;0;9557;28516;0;0;0;0;0;909;0
P.173 - PUTATAN;Sabah;37490;29936;0;0;0;17465;7958;0;0;0;0;1068;2604;0
P.174 - PENAMPANG;Sabah;44323;36882;0;0;0;12382;0;0;0;0;22598;0;1119;0
P.175 - PAPAR;Sabah;38771;33262;0;0;0;21196;0;0;0;0;10661;0;838;0
P.176 - KIMANIS;Sabah;26628;23170;0;0;0;13754;0;0;0;0;8031;650;240;0
P.177 - BEAUFORT;Sabah;30097;26000;0;0;0;12827;0;0;0;0;12155;0;409;0
P.178 - SIPITANG;Sabah;29177;24387;0;0;0;16377;0;0;0;0;6908;505;0;0
P.179 - RANAU;Sabah;39053;31458;914;0;0;15434;0;0;0;0;11823;0;2559;0
P.180 - KENINGAU;Sabah;43691;36144;0;0;0;15818;0;0;0;0;7825;0;11900;0
P.181 - TENOM;Sabah;25304;20944;0;0;0;9771;0;423;0;0;5885;1766;2449;0
P.182 - PENSIANGAN;Sabah;26194;21391;152;0;0;9467;0;0;0;0;7723;0;3554;0
P.183 - BELURAN;Sabah;24688;18915;542;0;0;13174;0;0;0;0;3186;0;1460;0
P.184 - LIBARAN;Sabah;39772;32119;3219;0;0;19584;0;0;0;0;7998;0;502;0
P.185 - BATU SAPI;Sabah;30199;23400;0;0;0;13085;0;0;9287;0;0;0;410;0
P.186 - SANDAKAN;Sabah;37058;27923;0;0;0;13138;14226;0;0;0;0;0;0;0
P.187 - KINABATANGAN;Sabah;24748;19997;1130;0;0;13377;0;0;0;0;3646;0;1153;0
P.188 - SILAM;Sabah;51662;39663;4959;0;0;23058;0;0;0;0;9671;0;841;0
P.189 - SEMPORNA;Sabah;41549;31595;325;0;0;25559;0;0;0;0;4654;0;0;0
P.190 - TAWAU;Sabah;51538;39787;553;0;0;21331;0;0;0;0;16352;633;0;0
P.191 - KALABAKAN;Sabah;46793;36230;2473;0;0;23125;0;0;8904;0;0;0;603;0
P.192 - MAS GADING;Sarawak;25771;20384;6109;0;0;8265;5293;0;0;0;0;0;462;0
P.193 - SANTUBONG;Sarawak;37017;29286;233;0;0;24655;0;0;0;0;3719;0;206;0
P.194 - PETRA JAYA;Sarawak;49750;38170;0;0;0;29559;0;0;0;0;8116;0;0;0
P.195 - BANDAR KUCHING;Sarawak;53336;40879;0;0;0;10491;30133;0;0;0;0;0;0;0
P.196 - STAMPIN;Sarawak;84732;65515;0;0;0;22993;41663;0;0;0;0;0;239;0
P.197 - KOTA SAMARAHAN;Sarawak;38158;31612;0;0;0;24202;0;0;6801;0;0;0;0;0
P.198 - MAMBONG;Sarawak;42344;32695;0;0;0;20461;0;0;0;0;10740;0;704;0
P.199 - SERIAN;Sarawak;33713;26562;0;0;0;19494;6343;0;0;0;0;0;390;0
P.200 - BATANG SADONG;Sarawak;19839;15541;0;0;0;13277;0;0;2017;0;0;0;0;0
P.201 - BATANG LUPAR;Sarawak;27360;20754;0;0;0;15625;0;0;0;0;4661;0;0;0
P.202 - SRI AMAN;Sarawak;29789;22409;3867;0;0;12168;0;0;0;0;5618;0;0;476
P.203 - LUBOK ANTU;Sarawak;19303;15166;0;0;0;8278;0;0;0;0;2530;0;0;4187
P.204 - BETONG;Sarawak;26322;20439;0;0;0;15476;0;0;0;0;4589;0;0;0
P.205 - SARATOK;Sarawak;27562;22136;681;0;0;11600;0;0;0;0;9519;0;0;0
P.206 - TANJONG MANIS;Sarawak;19215;14402;0;0;0;12535;0;0;1571;0;0;0;0;0
P.207 - IGAN;Sarawak;17771;13898;0;0;0;11896;0;0;1747;0;0;0;0;0
P.208 - SARIKEI;Sarawak;36550;28353;0;0;0;13758;14263;0;0;0;0;0;0;0
P.209 - JULAU;Sarawak;22522;16973;0;0;0;9891;0;0;0;0;2852;0;0;3936
P.210 - KANOWIT;Sarawak;19433;13759;0;0;0;8046;0;0;0;0;5004;0;0;417
P.211 - LANANG;Sarawak;57143;44956;0;0;0;17983;26613;0;0;0;0;0;0;0
P.212 - SIBU;Sarawak;64601;51588;203;0;0;23967;26808;0;0;0;0;0;0;0
P.213 - MUKAH;Sarawak;26477;19879;2219;0;0;14983;2219;0;0;0;0;0;0;0
P.214 - SELANGAU;Sarawak;25461;20753;0;0;0;12040;0;0;0;0;3891;0;0;4485
P.215 - KAPIT;Sarawak;26195;17474;0;0;0;13446;3715;0;0;0;0;0;0;0
P.216 - HULU RAJANG;Sarawak;21686;14763;0;0;0;9117;0;0;0;0;3283;0;0;2129
P.217 - BINTULU;Sarawak;59893;45968;0;0;0;26458;19025;0;0;0;0;0;0;0
P.218 - SIBUTI;Sarawak;28351;20947;0;0;0;13348;0;0;7282;0;0;0;0;0
P.219 - MIRI;Sarawak;71170;52813;0;0;0;24917;0;0;0;0;26909;0;306;0
P.220 - BARAM;Sarawak;29385;18796;363;0;0;9182;0;0;0;0;8988;0;0;0
P.221 - LIMBANG;Sarawak;24278;17912;0;0;0;12999;0;0;0;0;4698;0;0;0
P.222 - LAWAS;Sarawak;18845;14113;0;0;0;9928;3898;0;0;0;0;0;69;0
